Date,KS200
2016-03-02,238.63
2016-03-03,240.09
2016-03-04,239.74
2016-03-07,240.21
2016-03-08,238.44
2016-03-09,239.13
2016-03-10,241.43
2016-03-11,241.97
2016-03-14,242.15
2016-03-15,241.83
2016-03-16,242.35
2016-03-17,244.09
2016-03-18,244.63
2016-03-21,244.28
2016-03-22,245.41
2016-03-23,245.23
2016-03-24,244.08
2016-03-25,243.79
2016-03-28,243.95
2016-03-29,245.53
2016-03-30,246.54
2016-03-31,245.86
2016-04-01,242.36
2016-04-04,243.05
2016-04-05,240.58
2016-04-06,241.99
2016-04-07,242.29
2016-04-08,241.77
2016-04-11,242.06
2016-04-12,243.71
2016-04-14,248.89
2016-04-15,248.53
2016-04-18,248.0
2016-04-19,247.88
2016-04-20,247.26
2016-04-21,249.39
2016-04-22,248.32
2016-04-25,248.13
2016-04-26,248.92
2016-04-27,248.69
2016-04-28,246.27
2016-04-29,245.2
2016-05-02,243.47
2016-05-03,244.29
2016-05-04,243.31
2016-05-09,242.23
2016-05-10,243.68
2016-05-11,243.07
2016-05-12,242.34
2016-05-13,240.6
2016-05-16,240.82
2016-05-17,241.03
2016-05-18,239.82
2016-05-19,239.04
2016-05-20,238.74
2016-05-23,239.85
2016-05-24,237.65
2016-05-25,240.91
2016-05-26,240.58
2016-05-27,241.85
2016-05-30,241.73
2016-05-31,243.63
2016-06-01,243.58
2016-06-02,244.18
2016-06-03,244.39
2016-06-07,247.85
2016-06-08,250.04
2016-06-09,250.19
2016-06-10,248.96
2016-06-13,244.05
2016-06-14,243.35
2016-06-15,243.3
2016-06-16,241.61
2016-06-17,241.63
2016-06-20,245.17
2016-06-21,245.34
2016-06-22,246.75
2016-06-23,246.31
2016-06-24,239.21
2016-06-27,239.28
2016-06-28,240.08
2016-06-29,242.32
2016-06-30,244.14
2016-07-01,246.52
2016-07-04,247.62
2016-07-05,246.91
2016-07-06,241.86
2016-07-07,244.6
2016-07-08,243.43
2016-07-11,246.99
2016-07-12,247.14
2016-07-13,249.25
2016-07-14,249.8
2016-07-15,251.02
2016-07-18,251.52
2016-07-19,250.97
2016-07-20,250.66
2016-07-21,250.44
2016-07-22,250.04
2016-07-25,250.65
2016-07-26,252.72
2016-07-27,252.73
2016-07-28,251.86
2016-07-29,251.48
2016-08-01,253.81
2016-08-02,251.93
2016-08-03,248.65
2016-08-04,249.24
2016-08-05,252.36
2016-08-08,254.11
2016-08-09,255.85
2016-08-10,255.43
2016-08-11,256.18
2016-08-12,256.17
2016-08-16,256.15
2016-08-17,256.04
2016-08-18,258.11
2016-08-19,258.69
2016-08-22,257.27
2016-08-23,258.42
2016-08-24,257.3
2016-08-25,257.26
2016-08-26,256.23
2016-08-29,256.49
2016-08-30,257.49
2016-08-31,256.87
2016-09-01,256.03
2016-09-02,256.5
2016-09-05,259.64
2016-09-06,260.93
2016-09-07,260.31
2016-09-08,260.86
2016-09-09,257.31
2016-09-12,250.53
2016-09-13,251.77
2016-09-19,253.93
2016-09-20,255.09
2016-09-21,256.52
2016-09-22,258.34
2016-09-23,258.37
2016-09-26,257.48
2016-09-27,259.57
2016-09-28,258.21
2016-09-29,260.35
2016-09-30,257.49
2016-10-04,259.18
2016-10-05,258.99
2016-10-06,261.13
2016-10-07,260.06
2016-10-10,260.31
2016-10-11,256.15
2016-10-12,256.2
2016-10-13,253.93
2016-10-14,255.09
2016-10-17,256.19
2016-10-18,257.98
2016-10-19,258.21
2016-10-20,258.41
2016-10-21,257.26
2016-10-24,259.48
2016-10-25,258.57
2016-10-26,255.52
2016-10-27,256.66
2016-10-28,256.53
2016-10-31,255.93
2016-11-01,255.99
2016-11-02,252.83
2016-11-03,252.9
2016-11-04,252.57
2016-11-07,254.6
2016-11-08,255.26
2016-11-09,249.67
2016-11-10,255.31
2016-11-11,251.99
2016-11-14,250.01
2016-11-15,249.2
2016-11-16,250.32
2016-11-17,250.46
2016-11-18,250.21
2016-11-21,249.51
2016-11-22,252.37
2016-11-23,253.66
2016-11-24,252.03
2016-11-25,252.26
2016-11-28,252.96
2016-11-29,252.91
2016-11-30,254.26
2016-12-01,254.48
2016-12-02,252.88
2016-12-05,252.14
2016-12-06,255.63
2016-12-07,256.34
2016-12-08,262.0
2016-12-09,260.91
2016-12-12,260.72
2016-12-13,261.63
2016-12-14,262.0
2016-12-15,261.45
2016-12-16,262.56
2016-12-19,261.93
2016-12-20,262.59
2016-12-21,262.1
2016-12-22,261.97
2016-12-23,261.61
2016-12-26,261.9
2016-12-27,262.49
2016-12-28,259.7
2016-12-29,260.01
2017-01-02,260.36
2017-01-03,262.97
2017-01-04,263.12
2017-01-05,261.98
2017-01-06,263.2
2017-01-09,263.74
2017-01-10,263.73
2017-01-11,268.15
2017-01-12,269.95
2017-01-13,267.91
2017-01-16,266.15
2017-01-17,267.37
2017-01-18,267.08
2017-01-19,267.7
2017-01-20,266.52
2017-01-23,267.12
2017-01-24,267.3
2017-01-25,268.15
2017-01-26,270.48
2017-01-31,268.09
2017-02-01,269.56
2017-02-02,268.49
2017-02-03,268.85
2017-02-06,269.49
2017-02-07,268.97
2017-02-08,267.72
2017-02-09,267.69
2017-02-10,268.66
2017-02-13,268.81
2017-02-14,267.9
2017-02-15,268.81
2017-02-16,268.93
2017-02-17,268.84
2017-02-20,269.73
2017-02-21,272.11
2017-02-22,272.85
2017-02-23,272.89
2017-02-24,270.38
2017-02-27,268.97
2017-02-28,270.06
2017-03-02,272.65
2017-03-03,269.77
2017-03-06,270.41
2017-03-07,271.87
2017-03-08,272.29
2017-03-09,271.62
2017-03-10,272.29
2017-03-13,275.41
2017-03-14,277.89
2017-03-15,277.89
